cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
4	μ Aqr	20 52 39.21	-08 58 59.7	4.73	1.34	155	A3m
4	ο Aqr	22 03 18.83	-02 09 19.2	4.74	-0.6	381	B7IVe
4	π Aqr	22 25 16.61	01 22 38.6	4.8	-2.84	1101	B1Ve
4	σ Aqr	22 30 38.82	-10 40 40.4	4.82	0.27	265	A0IVs
4	104 Aqr A	23 41 45.80	-17 48 59.5	4.82	-1.65	643	G2Ib/II
4	χ Aqr	23 16 50.95	-07 43 35.3	4.93	-1.54	640	M3III
4	ω1 Aqr	23 39 47.04	-14 13 19.4	4.97	1.91	134	A7IV
4	ψ3 Aqr	23 18 57.65	-09 36 38.6	4.99	0.58	249	A0V
4	κ Aqr	22 37 45.42	-04 13 39.9	5.04	0.76	234	K2III
4	25 Aqr	21 39 33.28	02 14 37.5	5.1	0.76	241	K0III
4	47 Aqr	22 21 35.58	-21 35 52.9	5.12	1.37	183	K0III
4	1 Aqr	20 39 24.83	00 29 11.4	5.15	0.77	245	K1III
4	108 Aqr	23 51 21.32	-18 54 33.0	5.17	0.2	321	Ap Si
4	94 Aqr B	23 19 06.37	-13 27 17.0	5.19	9999	69	K2V
4	97 Aqr	23 22 39.10	-15 02 21.8	5.19	0.88	237	A3V
4	94 Aqr A	23 19 06.51	-13 27 30.4	5.2	3.62	69	G6/G8IV
4	υ Aqr	22 34 41.50	-20 42 28.3	5.21	3.43	74	F7V
4	68 Aqr	22 47 33.19	-19 36 46.3	5.24	0.68	266	G8III
4	106 Aqr	23 44 12.06	-18 16 36.9	5.24	0.2	331	B9V
4	258 G. Aqr	23 42 27.81	-15 26 52.7	5.27	0.6	280	K3III
4	107 Aqr	23 46 00.84	-18 40 42.1	5.28	1.21	212	F0III
4	32 Aqr	22 04 47.43	-00 54 22.5	5.29	1.04	231	A5m
4	41 Aqr	22 14 18.02	-21 04 28.9	5.33	0.65	281	K1III
4	42 Aqr	22 16 48.04	-12 49 53.2	5.34	-0.52	484	K1III
4	ρ Aqr	22 20 11.91	-07 49 16.0	5.35	-1.44	743	B8IIIMNp...
4	103 Aqr	23 41 34.51	-18 01 36.8	5.36	-0.91	584	K4/K5III
4	38 Aqr	22 10 37.46	-11 33 53.9	5.43	-0.75	561	B5III
4	83 Aqr	23 05 09.71	-07 41 37.7	5.44	1.63	188	F2V
4	18 Aqr	21 24 11.44	-12 52 41.3	5.48	2.07	157	F0V
4	21 Aqr	21 25 16.96	-03 33 23.7	5.48	-0.01	408	K4III
4	7 Aqr	20 56 54.03	-09 41 51.1	5.49	-0.84	601	K5III
4	12 Aqr B	21 04 04.58	-05 49 24.2	7.31	9999	9999	A3V
4	49 Aqr	22 23 30.79	-24 45 45.6	5.53	0.93	272	K0IIICN...
4	77 Aqr	22 54 45.60	-16 16 18.3	5.53	2.36	140	K1III
4	5 Aqr	20 52 08.69	-05 30 25.4	5.55	-1.27	753	B9III
4	30 Aqr	22 03 16.43	-06 31 20.7	5.55	0.95	271	K0III
4	53 Aqr B	22 26 34.15	-16 44 31.7	5.55	4.04	65	G3V
4	217 G. Aqr	23 15 34.26	-03 29 46.9	5.56	1.3	231	A3V
4	96 Aqr	23 19 23.86	-05 07 27.5	5.56	2.85	114	F3IV
4	28 Aqr	22 01 05.01	00 36 17.1	5.6	-0.94	661	K4III:
4	26 Aqr	21 42 10.12	01 17 07.0	5.66	-2.77	1583	K2III
4	HD 222093	23 37 39.54	-13 03 37.1	5.66	0.96	283	K0III
4	τ1 Aqr	22 47 42.75	-14 03 23.1	5.68	1.17	260	B9V
4	269 G. Aqr	23 50 33.26	-14 24 05.2	5.7	-0.05	460	K4III
4	19 Aqr	21 25 13.02	-09 44 53.3	5.71	1.07	276	F0IV
4	94 G. Aqr	21 54 10.34	-04 16 33.4	5.71	0.96	291	K2III
4	HD 216718	22 55 10.94	-04 59 16.4	5.72	0.95	293	K0III-IV
4	264 G. Aqr	23 47 15.94	-11 54 39.2	5.74	0.61	346	K0III
4	44 Aqr	22 17 06.50	-05 23 14.0	5.75	0.65	341	G6III
4	50 Aqr	22 24 27.03	-13 31 45.9	5.76	-0.35	542	K0III
4	HD 223807	23 52 50.49	-08 59 48.1	5.76	-0.61	612	K0III
